"Organ","SeqID"
"Conventional","6578-29"
"Conventional","3810-50"
"Conventional","4159-130"
"Conventional","22511-28"
"Conventional","7717-95"
"Conventional","5870-23"
"Conventional","15610-72"
"Conventional","13959-7"
"Conventional","15497-9"
"Conventional","15486-126"
"Conventional","6209-2"
"Conventional","21943-170"
"Conventional","21942-14"
"Conventional","12669-30"
"Conventional","13618-15"
"Conventional","21862-145"
"Conventional","24685-12"
"Conventional","12463-7"
"Conventional","20970-14"
"Conventional","21450-333"
"Conventional","5340-24"
"Conventional","3336-50"
"Conventional","24493-10"
"Conventional","18409-61"
"Conventional","19561-216"
"Conventional","11368-32"
"Conventional","7174-15"
"Conventional","11513-92"
"Conventional","17722-5"
"Conventional","22429-13"
"Conventional","18860-2"
"Conventional","11431-235"
"Conventional","19127-1"
"Conventional","9969-8"
"Conventional","20542-47"
"Conventional","24453-75"
"Conventional","13575-40"
"Conventional","4534-10"
"Conventional","22375-15"
"Conventional","19199-3"
"Conventional","20183-48"
"Conventional","11174-8"
"Conventional","9600-55"
"Conventional","25463-3"
"Conventional","13614-6"
"Conventional","2580-83"
"Conventional","4261-55"
"Conventional","13929-27"
"Conventional","21903-6"
"Conventional","11617-1"
"Conventional","12651-21"
"Conventional","21901-14"
"Conventional","19574-5"
"Conventional","8488-33"
"Conventional","3739-72"
"Conventional","14747-9"
"Conventional","2607-54"
"Conventional","6372-7"
"Conventional","7871-16"
"Conventional","24938-7"
"Conventional","9337-43"
"Conventional","22839-23"
"Conventional","11117-2"
"Conventional","5138-50"
"Conventional","14332-3"
"Conventional","12940-35"
"Conventional","9168-31"
"Conventional","17725-37"
"Conventional","21889-2"
"Conventional","25428-103"
"Conventional","12684-5"
"Conventional","20231-23"
"Conventional","21276-11"
"Conventional","7204-1"
"Conventional","17721-82"
"Conventional","24635-25"
"Conventional","3823-9"
"Conventional","7184-13"
"Conventional","6351-55"
"Conventional","7018-10"
"Conventional","12854-3"
"Conventional","3470-1"
"Conventional","9783-75"
"Conventional","25288-16"
"Conventional","12612-37"
"Conventional","12623-84"
"Conventional","13624-17"
"Conventional","21365-5"
"Conventional","7933-75"
"Conventional","3329-14"
"Conventional","14064-21"
"Conventional","5657-28"
"Conventional","9051-13"
"Conventional","21643-8"
"Conventional","12735-39"
"Conventional","4209-60"
"Conventional","24679-35"
"Conventional","17449-23"
"Conventional","5628-21"
"Conventional","12738-43"
"Conventional","14599-18"
"Conventional","3198-4"
"Conventional","18864-7"
"Conventional","3479-71"
"Conventional","3143-3"
"Conventional","19202-10"
"Conventional","3416-2"
"Conventional","12604-16"
"Conventional","3813-3"
"Conventional","3041-55"
"Conventional","23393-56"
"Conventional","6603-18"
"Conventional","7121-2"
"Conventional","14028-22"
"Conventional","2652-15"
"Conventional","2666-53"
"Conventional","8866-53"
"Conventional","8978-30"
"Conventional","12585-39"
"Conventional","2891-1"
"Conventional","5667-3"
"Conventional","2780-35"
"Conventional","14755-4"
"Conventional","8946-38"
"Conventional","25880-14"
"Conventional","21989-12"
"Conventional","25232-4"
"Conventional","9251-28"
"Conventional","24911-57"
"Conventional","21996-28"
"Conventional","18225-13"
"Conventional","20519-7"
"Conventional","22027-13"
"Conventional","2668-70"
"Conventional","19317-114"
"Conventional","3853-56"
"Conventional","22033-32"
"Conventional","22033-7"
"Conventional","10528-2"
"Conventional","8794-13"
"Conventional","5798-3"
"Conventional","21572-91"
"Conventional","6267-51"
"Conventional","4254-6"
"Conventional","11549-6"
"Conventional","5085-18"
"Conventional","10496-11"
"Conventional","8955-60"
"Conventional","2952-75"
"Conventional","8406-17"
"Conventional","2974-61"
"Conventional","24444-10"
"Conventional","8018-43"
"Conventional","9003-99"
"Conventional","20134-27"
"Conventional","21132-9"
"Conventional","10014-31"
"Conventional","8748-45"
"Conventional","6974-6"
"Conventional","2681-23"
"Conventional","21754-5"
"Conventional","23540-3"
"Conventional","11138-16"
"Conventional","11319-106"
"Conventional","24695-8"
"Conventional","10737-96"
"Conventional","8388-24"
"Conventional","10870-32"
"Conventional","16323-8"
"Conventional","5111-15"
"Conventional","16814-13"
"Conventional","4973-18"
"Conventional","12486-8"
"Conventional","14090-23"
"Conventional","18214-2"
"Conventional","23640-10"
"Conventional","11361-73"
"Conventional","13969-24"
"Conventional","15540-6"
"Conventional","9218-7"
"Conventional","5392-73"
"Conventional","9459-7"
"Conventional","6248-68"
"Conventional","16913-8"
"Conventional","9283-8"
"Conventional","5487-7"
"Conventional","7882-31"
"Conventional","6352-8"
"Conventional","5825-49"
"Conventional","7806-33"
"Conventional","3152-57"
"Conventional","8368-102"
"Conventional","6955-68"
"Conventional","8807-13"
"Conventional","18434-141"
"Conventional","14023-84"
"Conventional","3415-61"
"Conventional","21344-31"
"Conventional","24417-22"
"Conventional","12775-6"
"Conventional","11547-84"
"Conventional","4992-49"
"Conventional","18178-13"
"Conventional","14037-18"
"Conventional","8244-16"
"Conventional","25284-47"
"Conventional","6151-18"
"Conventional","23274-27"
"Conventional","12494-99"
"Conventional","16558-2"
"Conventional","8750-46"
"Conventional","4355-13"
"Conventional","12644-63"
"Conventional","12510-3"
"Conventional","2278-61"
"Conventional","10045-47"
"Conventional","13534-20"
"Conventional","15431-31"
"Conventional","21728-4"
"Conventional","21583-14"
"Conventional","16035-8"
"Conventional","2358-19"
"Conventional","20545-17"
"Conventional","23340-37"
"Conventional","12514-16"
"Conventional","10435-2"
"Conventional","18392-19"
"Conventional","6383-90"
"Conventional","13066-42"
"Conventional","11126-102"
"Conventional","9561-21"
"Conventional","15533-97"
"Conventional","11282-16"
"Conventional","3684-78"
"Conventional","11207-3"
"Conventional","2501-51"
"Conventional","14759-149"
"Conventional","18429-10"
"Conventional","4482-66"
"Conventional","4127-75"
"Conventional","13657-2"
"Conventional","23671-11"
"Conventional","12970-35"
"Conventional","5105-2"
"Conventional","20529-7"
"Conventional","25064-34"
"Conventional","13596-3"
"Conventional","14099-20"
"Conventional","6042-52"
"Conventional","5738-25"
"Conventional","5675-6"
"Conventional","2728-62"
"Conventional","4155-3"
"Conventional","6260-14"
"Conventional","7131-207"
"Conventional","10073-22"
"Conventional","4968-50"
"Conventional","8635-283"
"Conventional","18839-24"
"Conventional","21681-10"
"Conventional","17366-6"
"Conventional","6223-5"
"Conventional","24426-191"
"Conventional","24426-15"
"Conventional","3432-21"
"Conventional","9484-75"
"Conventional","20517-1"
"Conventional","17453-34"
"Conventional","23352-9"
"Conventional","25278-41"
"Conventional","9032-30"
"Conventional","19562-8"
"Conventional","18228-30"
"Conventional","8854-59"
"Conventional","8925-25"
"Conventional","2665-26"
"Conventional","22492-108"
"Conventional","10008-43"
"Conventional","7245-2"
"Conventional","9377-25"
"Conventional","6441-62"
"Conventional","7161-25"
"Conventional","7903-18"
"Conventional","6020-52"
"Conventional","2598-9"
"Conventional","14025-18"
"Conventional","22148-135"
"Conventional","15470-11"
"Conventional","6075-61"
"Conventional","10746-24"
"Conventional","3607-71"
"Conventional","11543-84"
"Conventional","5751-14"
"Conventional","12798-46"
"Conventional","15604-18"
"Conventional","9760-13"
"Conventional","22987-69"
"Conventional","4543-65"
"Conventional","21799-15"
"Conventional","15513-108"
"Conventional","6225-3"
"Conventional","9550-153"
"Conventional","8800-14"
"Conventional","9350-3"
"Conventional","9470-15"
"Conventional","4188-1"
"Conventional","21310-37"
"Conventional","20074-3"
"Conventional","14337-1"
"Conventional","16882-27"
"Conventional","18887-7"
"Conventional","25954-3"
"Conventional","9789-52"
"Conventional","5688-65"
"Conventional","6086-15"
"Conventional","5115-31"
"Conventional","14112-40"
"Conventional","17797-1"
"Conventional","11402-17"
"Conventional","4811-33"
"Conventional","7955-195"
"Conventional","17747-45"
"Conventional","6262-14"
"Conventional","5084-154"
"Conventional","25066-32"
"Conventional","21832-31"
